Plate Header;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Field;Data;;Instructions;;;;;;;;;;;;;;;;;;;;;;;;;;
Version;1;;Do not modify this field.;;;;;;;;;;;;;;;;;;;;;;;;;;
Plate Size;96;;Do not modify this field.;;;;;;;;;;;;;;;;;;;;;;;;;;
Plate Type;;;"Allowed values (""BR White"";""BR Clear"")";;;;;;;;;;;;;;;;;;;;;;;;;;
Scan Mode;;;"Allowed values (""SYBR/FAM Only""; ""All Channels""; ""FRET"")";;;;;;;;;;;;;;;;;;;;;;;;;;
Units;;;"Allowed values (""copy number"";""fold dilution"";""micromoles"";""nanomoles"";""picomoles""; ""femtomoles"";""attomoles"";""milligrams"";""micrograms"";""nanograms"";""picograms"";""femtograms"";""attograms"";""percent"")";;;;;;;;;;;;;;;;;;;;;;;;;;
Run ID;;;Short description or bar code;;;;;;;;;;;;;;;;;;;;;;;;;;
Run Notes;;;Run description;;;;;;;;;;;;;;;;;;;;;;;;;;
Run Protocol;;;Protocol File Name;;;;;;;;;;;;;;;;;;;;;;;;;;
Data File;;;Data File Name;;;;;;;;;;;;;;;;;;;;;;;;;;
TBD;;;Future Use;;;;;;;;;;;;;;;;;;;;;;;;;;
TBD;;;Future Use;;;;;;;;;;;;;;;;;;;;;;;;;;
TBD;;;Future Use;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Plate Data;;;"Sample Type: Unknown; Standard; Positive Control; Negative Control; NTC; NRT";;;;;;;;;;;;;;;;;;;;;;;;;;
Well;Ch1 Dye;Ch2 Dye;Ch3 Dye;Ch4 Dye;Ch5 Dye;FRET;Sample Type;Sample Name;Ch1 Target Name;Ch2 Target Name;Ch3 Target Name;Ch4 Target Name;Ch5 Target Name;FRET Target Name;Collection Name;Replicate;Ch1 Quantity;Ch2 Quantity;Ch3 Quantity;Ch4 Quantity;Ch5 Quantity;FRET Quantity;Well Note;Ch1 Well Color;Ch2 Well Color;Ch3 Well Color;Ch4 Well Color;Ch5 Well Color;FRET Well Color
A01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
