Etiq-Strain+Automat+CG+y
AB073912=swJ570. 3b.JPN.Tochigi.pig(*).CG.2000
AB074915=JAK-Sai. 4c.JPN.Saitama.hum(*).CG.1994
AB074917=JKK-Sap. 4c.JPN.Hokkaido.hum(*).CG.2000
AB074918=JKN-Sap. 3a.JPN.Hokkaido.hum(*).CG.2001
AB074920=JMY-Haw. 3a.USA.Hawaii.hum(*).CG.2001
AB080575=HE-JI4. 4c.JPN.Tochigi.hum(*).CG.2000
AB089824=HE-JA10. 3a.JPN.Tokio.hum(*).CG.1993
AB091394=JJT-Kan. 3b.JPN.Kanagawa.hum(*).CG.1998
AB091395=JSN-Sap-FH. 4c.JPN.Hokkaido.hum(*).CG.2002
AB097811=swj13-1. 4c.JPN.Hokkaido.pig(*).CG.2002
AB097812=HE-JA1. 4c.JPN.Hokkaido.hum(*).CG.1997
AB099347=HE-JK4. 4c.JPN.Tochigi.hum(*).CG.2002
AB108537=CCC220. 4g.CHN.Changchun.hum(*).CG.2000
AB161717=JSM-Sap95. 4c.JPN.Hokkaido.hum(*).CG.1995
AB189070=JBOAR1-Hyo04. 3b.JPN.Hyogo.wb(*).CG.2004
AB189072=JMO-Hyo03L. 3b.JPN.Hyogo.hum(*).CG.2003
AB189073=JSO-Hyo03L. 3b.JPN.Hyogo.hum(*).CG.2003
AB189074=JTH-Hyo03L. 3b.JPN.Hyogo.hum.CG.2003
AB189075=JYO-Hyo03L. 3b.JPN.Hyogo.hum.CG.2003
AB193176=JSF-Tot03C. 4c.JPN.Tottori.hum(*).CG.2003
AB193177=JYN-Sap01C. 4c.JPN.Hokkaido.hum.CG.2001
AB193178=JYN-Nii02L. 4c.JPN.Niigata.hum.CG.2002
AB197673=JKO-ChiSai98C. 4a.CHN.Xian.hum.CG.1998
AB197674=JYI-ChiSai01C. 4a.CHN.Shanghai.hum.CG.2001
AB220971=HE-JF3. 4c.JPN.Mito.hum(*).CG.1998
AB220972=HE-JF4. 4c.JPN.Hokkaido.hum(*).CG.2002
AB220973=HE-JF5. 4c.JPN.Hokkaido.hum(*).CG.2002
AB220974=HE-JA2. 4f.JPN.Hokkaido.hum(*).CG
AB220975=HE-JA19. 4c.JPN.Hokkaido.hum(*).CG.2002
AB220976=HE-JA28. 4c.JPN.Hokkaido.hum.CG
