Etiq-Strain+Automat+CG
AB253420=HEVN2. 4.JPN.Okinawa.hum.CG
AB291964=JYK-Tok03C. 4.JPN.Tokio.hum.CG
AB369688=E087-SAP04C. 4.CHN.Shanghai.hum.CG
DQ294630=DQ294630. 4.CHN.Heilongjiang .pig
FJ641994=Ch-MD-sw1. 4.CHN.pig
AF058680=BCN. 1.ESP.Barcelona.sewage
AF058681=BCN. 1.ESP.Barcelona.sewage
AF124407=AKL-90. 1.IND
AF141652=AF141652. 1.CHN.hum
EU879108=V0616998 . 1.PAK.hum.UReg
FR728245=V1013454. 1.DEU.BY.hum.UReg
FR728246=V1013454. 1.DEU.BY.hum.UReg
AB720034=E11-Ban10. 1a.Rajshahi.hum.CG
AB720035=E13-Ban10. 1a.Rajshahi.hum.CG
AF028091=Hyderabad. 1a.IND
AF051352=94-Egypt. 1a.EGY.Cairo.hum
AF051830=TK15/92. 1a.NPL.Kathmandu.mac(*).CG
AF058683=BCN. 1a.ESP.Barcelona.sewage
AF076239=I3. 1a.IND.synth(*).CG
AF185822=Abb-2B. 1a.PAK.hum(*).CG
AF459438=Yam-67. 1a.IND.hum(*).CG
D10330=Bur86 (HEVNE8L). 1a.Burma.mac-hum(*).CG
DQ079624=Mya86-Li. 1a.MMR.hum
DQ200276=HEV/HU/NL/2002-1650. 1a.NLD.hum
DQ200281=HEV/HU/NL/2004-0906. 1a.NLD.hum
DQ200285=HEV/HU/NL/2005-0440. 1a.NLD.hum
DQ200286=HEV/HU/NL/2005-0551. 1a.NLD.hum
DQ200288=HEV/HU/NL/2005-0586. 1a.NLD.hum
DQ200290=HEV/HU/NL/2005-0914. 1a.NLD.hum
DQ200291=HEV/HU/NL/2005-0915. 1a.NLD.hum
DQ200294=HEV/HU/NL/DB31. 1a.NLD.hum
DQ200296=HEV/HU/NL/3796. 1a.NLD.hum
DQ459342=PM2000. 1a.IND.hum.CG
EU450839=BBCN2.1. 1a.ESP.sewage
EU879097=V0607258. 1a.NPL.hum.UReg
EU879101=V0609824 . 1a.IND.hum.UReg
EU879104=V0610936 . 1a.IND.hum.UReg
EU879105=V0616473 . 1a.IND.hum.UReg
EU879107=V0616932 . 1a.IND.hum.UReg
EU879115=V0711187 . 1a.IND.hum.UReg
FJ457024=HEV-H. 1a.IND.hum.CG
FR728243=V1003873. 1a.?.hum.UReg
FR728244=V1003873. 1a.?.hum.UReg
M32400=Burma. 1a.Burma.mac-hum
M73218=Burma. 1a.Burma.mac-hum(*).CG
U22532=Hyderabad. 1a.IND
U40044=2B Abbottabad, Pakistan. 1a.PAK
X99441=Mad-93. 1a.IND.Madras.hum(*).CG
AF051351=93-Egypt. 1b.EGY.Cairo.hum
AF058684=BCN. 1b.ESP.Barcelona.sewage
AF444002=SAR-55(pSK-HEV-2). 1b.clon.CG
D11092=CHT-88. 1b.CHN.Uighur.hum(*).CG
D11093=Uigh179. 1b.CHN.Uighur.hum(*).CG
L08816=CHT-87. 1b.CHN.Uighur.hum(*).CG
L25547=HPEGENA. 1b.CHN.CG
L25595=K52-87. 1b.CHN.Xinjiang.hum(*).CG
M80581=SAR-55. 1b.PAK.Sargodha.mac(*).CG
X98292=hev037. 1c.IND.hum(*).CG
AF065061=HEV-Morocco. 1d.MAR
AY230202=Morocco. 1d.MAR.hum(*).CG
AY204877=T3. 1e.TCD.hum(*).CG
AY540115=VH5_ORF2. 1e.ESP.hum(*)
EU879119=V0714305. 1e.ETH.hum.UReg
M74506=Mexico. 2a.MEX.Telixtac.mac-hum(*).CG
FR863612=HEVCW. 3.GBR.hum
JF490047=E1Arg36.2. 3.ARG.hum
JN257708=PP300. 3.DEU.hum.PEI
JN257709=PP302. 3.DEU.hum.PEI
JN257710=PP316. 3.DEU.hum.PEI
JN257711=PP440. 3.DEU.hum.PEI
JN995562=Oct1. 3.SWE.hum.PEI
JN995568=Oct7. 3.DEU.hum.PEI
KF373757=51-12. 3.DEU.hum.FIRA
KF513709=51-12. 3.GBR.hum
KF513759=HEV_EW205. 3.GBR.hum
KF513788=HEV_EW250. 3?.GBR.hum
KF513710=HEV_EW277. 3a.GBR.hum
